P	P (slang)_femme_(lesbian_stereotype) 
篢	篢 bamboo_hat 
篤	篤 serious_(illness) sincere true 
竅	竅 hole opening orifice_(of_the_human_body) (fig.)_key_(to_the_solution_of_a_problem) 
竇	竇 surname_Dou 
竇	竇 hole aperture (anatomy)_cavity sinus 
竈	竈 variant_of_灶[zao4] 
竊	竊 to_steal secretly (humble)_I 
祫	祫 triennial_sacrifice_to_ancestors 
祭	祭 surname_Zhai 
祭	祭 to_offer_sacrifice festive_occasion 
秌	秌 old_variant_of_秋[qiu1] 
秏	秏 variant_of_耗[hao4] 
科	科 branch_of_study administrative_section division field branch stage_directions family_(taxonomy) rules laws to_mete_out_(punishment) to_levy_(taxes_etc) to_fine_sb CL:個|个[ge4] 
算	算 to_regard_as to_figure to_calculate to_compute 
籐	籐 variant_of_藤[teng2] 
籑	籑 old_variant_of_撰[zhuan4] 
籑	籑 old_variant_of_饌|馔[zhuan4] 
籒	籒 old_variant_of_籀[zhou4] 
籓	籓 big_winnow_basket 
籔	籔 basket_for_draining_rice 
籖	籖 Japanese_variant_of_籤|签[qian1] 
籙	籙 records book Taoist_written_charm book_of_prophecy_(e.g._of_dynastic_fortunes) 
籚	籚 basket_made_of_rush spear-shaft 
籛	籛 surname_Jian 
籜	籜 sheath_around_joints_of_bamboo 
籝	籝 old_variant_of_籯[ying2] 
籟	籟 a_sound a_noise musical_pipe_with_3_reeds 
籠	籠 enclosing_frame_made_of_bamboo,_wire_etc cage basket steamer_basket to_cover to_cage to_embrace to_manipulate_through_trickery 
籠	籠 to_cover to_cage covering also_pr._[long2] 
籢	籢 old_variant_of_奩|奁[lian2] 
籣	籣 bow_case quiver 
籤	籤 inscribed_bamboo_stick_(used_in_divination,_gambling,_drawing_lots_etc) small_wood_sliver label tag 
籥	籥 flute key 
籧	籧 crude_bamboo_mat 
籩	籩 basket_for_fruits 
籪	籪 bamboo_fish_trap 
籫	籫 bamboo_utensil 
籬	籬 a_fence 
綖	綖 cap_tassels 
綗	綗 variant_of_絅|䌹[jiong3] 
綘	綘 variant_of_縫|缝[feng2] 
継	継 Japanese_variant_of_繼|继 
続	続 Japanese_variant_of_續|续 
綜	綜 heddle_(device_to_form_warp_in_weaving_textiles) Taiwan_pr._[zong4] 
篥	篥 bamboos_good_for_poles horn 
篦	篦 fine-toothed_comb to_comb 
篧	篧 creel_for_trapping_fish 
篨	篨 crude_bamboo_mat 
篩	篩 to_filter to_sift to_sieve 
篪	篪 bamboo_flute_with_7_or_8_holes 
篭	篭 old_variant_of_籠|笼[long2] 
篰	篰 sieve-like_utensil 
篲	篲 variant_of_彗[hui4] 
粻	粻 food white_cooked_rice 
粼	粼 clear_(as_of_water) 
粽	粽 rice_dumplings_wrapped_in_leaves 
精	精 essence extract vitality energy semen sperm mythical_goblin_spirit highly_perfected elite the_pick_of_sth proficient_(refined_ability) extremely_(fine) selected_rice_(archaic) 
紀	紀 surname_Ji also_pr._[Ji4] 
紀	紀 order discipline age era period to_chronicle 
竹	竹 bamboo CL:棵[ke1],支[zhi1],根[gen1] Kangxi_radical_118 
穀	穀 grain corn 
穂	穂 Japanese_variant_of_穗[sui4] 
穄	穄 (millet) 
穅	穅 variant_of_糠[kang1] 
穆	穆 surname_Mu 
穆	穆 solemn reverent calm burial_position_in_an_ancestral_tomb_(old) old_variant_of_默 
蒴	蒴 pod capsule 
蒸	蒸 to_evaporate (of_cooking)_to_steam torch_made_from_hemp_stalks_or_bamboo_(old) finely_chopped_firewood_(old) 
蝨	蝨 louse 
蝮	蝮 insect poisonous_snake_(archaic) 
蝯	蝯 variant_of_猿[yuan2] 
蝰	蝰 see_蝰蛇[kui2_she2] 
蝱	蝱 old_variant_of_虻[meng2] 
蝲	蝲 see_蝲蛄,_fresh-water_crayfish_(Procambarus_clarkii) 
蝳	蝳 see_蝳蝐[dai4_mao4] 
蝴	蝴 butterfly 
衁	衁 blood 
衂	衂 variant_of_衄[nu:4] 
衄	衄 to_bleed_from_the_nose_(or_from_the_ears,_gums_etc) fig._to_be_defeated 
衆	衆 variant_of_眾|众[zhong4] 
衇	衇 variant_of_脈|脉[mai4] 
衈	衈 the_blood_of_a_sacrificial_fowl_which_was_sprinkled_on_doors_and_vessels 
衉	衉 to_vomit 
衊	衊 defiled_with_blood 
衋	衋 sad_(old) 
行	行 row line commercial_firm line_of_business profession to_rank_(first,_second_etc)_among_one's_siblings_(by_age) (in_data_tables)_row (Tw)_column 
藒	藒 see_藒車|藒车[qie4_che1] 
蛉	蛉 sandfly 
蛋	蛋 variant_of_蜑[Dan4] 
蟳	蟳 (hairy_sea-crab) 
蟶	蟶 mussel razor_clam Solecurtus_constricta 
蟷	蟷 mantis 
蟹	蟹 crab 
蟺	蟺 earthworm 
蟻	蟻 ant 
蟾	蟾 moon (striped)_toad 
蟿	蟿 (insect) Tryxalis_masuta 
蠁	蠁 larvae 
蠂	蠂 Podisma_mikado 
蠃	蠃 solitary_wasp 
蠅	蠅 fly musca CL:隻|只[zhi1] 
蠆	蠆 (scorpion) an_insect 
蠊	蠊 cockroach 
蠋	蠋 caterpillar 
蠍	蠍 scorpion 
蠎	蠎 old_variant_of_蟒[mang3] 
蠏	蠏 variant_of_蟹[xie4] 
蠐	蠐 larva maggot 
葛	葛 kudzu_(Pueraria_lobata) hemp_cloth 
葠	葠 variant_of_參|参[shen1] 
葡	葡 Portugal Portuguese abbr._for_葡萄牙[Pu2_tao2_ya2] 
葡	葡 see_葡萄[pu2_tao5] 
莛	莛 stalk_of_grass 
莜	莜 see_莜麥|莜麦[you2_mai4] 
莝	莝 to_chop_straw_fine_for_animals 
莞	莞 Skimmia_japonica 
莞	莞 (district) 
莞	莞 smile 
莠	莠 Setaria_viridis vicious 
莢	莢 pod_(botany) 
莦	莦 jungle_grass lair 
莧	莧 amaranth_(genus_Amaranthus) Joseph's_coat_(Amaranthus_tricolor) Chinese_spinach_(Amaranth_mangostanus) 
莨	莨 Scopalia_japonica_maxin 
莩	莩 membrane_lining_inside_a_cylindrical_stem culm 
莪	莪 zedoary_(Curcuma_zedoaria),_plant_rhizome_similar_to_turmeric 
莫	莫 do_not there_is_none_who 
莎	莎 katydid_(family_Tettigoniidae) phonetic_"sha"_used_in_transliteration 
藕	藕 root_of_lotus 
藘	藘 madder 
藙	藙 Zanthoxylum_ailanthoides 
藚	藚 Alisma_plantago 
藜	藜 name_of_weed_plant_(fat_hen,_goosefoot,_pigweed_etc) Chenopodium_album 
藝	藝 skill art 
藟	藟 bud creeper bramble 
虖	虖 to_exhale to_call scream_of_tiger 
虗	虗 old_variant_of_虛|虚[xu1] 
虛	虛 emptiness void abstract_theory_or_guiding_principles empty_or_unoccupied diffident_or_timid false humble_or_modest (of_health)_weak virtual in_vain 
蘋	蘋 apple 
蘋	蘋 marsiliaceae clover_fern 
蘐	蘐 old_variant_of_萱[xuan1] 
蘑	蘑 mushroom 
蘓	蘓 old_variant_of_蘇|苏[su1] 
蘗	蘗 shoots_from_an_old_stump 
蘘	蘘 a_kind_of_wild_ginger 
蘚	蘚 moss lichen moss_on_damp_walls used_erroneously_for_蘇|苏 
蘝	蘝 variant_of_蘞|蔹,_trailing_plant liana creeper wild_vine_(Gynostemma_pentaphyllum_or_Vitis_pentaphylla) 
蘞	蘞 trailing_plant liana creeper wild_vine_(Gynostemma_pentaphyllum_or_Vitis_pentaphylla) 
蘢	蘢 Polygonum_posumbu 
蘤	蘤 variant_of_花[hua1] flower blossom also_pr._[wei3] 
蘧	蘧 surname_Qu 
蘧	蘧 Dianthus_superbus 
蘩	蘩 Artemisia_stellariana 
蔞	蔞 Arthemisia_vulgaris piper_betel 
蔟	蔟 collect frame_for_silk_worm nest 
蔡	蔡 surname_Cai 
茻	茻 rank_grass overgrown_weeds 
茼	茼 Chrysanthemum_coronarium 
荀	荀 surname_Xun 
荀	荀 herb_(old) 
荁	荁 (vegetable) Viola_vaginata 
荃	荃 (fragrant_plant) 
荄	荄 roots_of_plant 
荅	荅 to_answer agree 
荇	荇 yellow_floating_heart_(Nymphoides_peltatum) 
荈	荈 Thea_sinensis 
草	草 grass straw manuscript draft_(of_a_document) careless rough CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1] 
草	草 variant_of_肏[cao4] 
蒹	蒹 reed 
蒺	蒺 Tribulus_terrestris 
蒻	蒻 young_rush_(Typha_japonica),_a_kind_of_cattail 
蒼	蒼 surname_Cang 
蒼	蒼 dark_blue deep_green ash-gray 
蝶	蝶 butterfly CL:隻|只[zhi1] 
蝸	蝸 snail Taiwan_pr._[gua1] see_蝸牛|蜗牛[wo1_niu2] 
蝻	蝻 immature_locusts 
蝽	蝽 bedbug 
螂	螂 dragonfly mantis 
螃	螃 crab 
螄	螄 snail 
螅	螅 (intestinal_worm) 
螈	螈 salamander newt 
螉	螉 see_蠮螉[ye1_weng1] 
螋	螋 earwig_蠼螋 
融	融 to_melt to_thaw to_blend to_merge to_be_in_harmony 
藠	藠 see_藠頭|藠头[jiao4_tou5] 
藤	藤 rattan cane vine 
蛌	蛌 cricket 
蛍	蛍 Japanese_variant_of_螢|萤 
蛐	蛐 cricket 
蛑	蛑 marine_crab 
蛓	蛓 (literary)_caterpillar 
蛔	蛔 roundworm Ascaris_lumbricoides 
蛕	蛕 old_variant_of_蛔[hui2] 
蛋	蛋 egg CL:個|个[ge4],打[da2] oval-shaped_thing 
蠑	蠑 salamander 
蠒	蠒 variant_of_繭|茧[jian3] 
蠓	蠓 grasshopper midge sandfly 
蠔	蠔 oyster 
蠕	蠕 to_squirm to_wiggle to_wriggle Taiwan_pr._[ruan3] 
蠖	蠖 looper_caterpillar 
蠗	蠗 (ape) (shell) 
蠙	蠙 pearl-oyster 
蠚	蠚 to_sting 
蠛	蠛 minute_flies 
蠜	蠜 cyrtophyllus_sp. 
蠟	蠟 candle wax 
菰	菰 Zizania_latifolia mushroom 
菱	菱 Trapa_natans water_caltrop 
菲	菲 abbr._for_the_Philippines_菲律賓|菲律宾[Fei1_lu:4_bin1] 
董	董 surname_Dong 
董	董 to_supervise to_direct director 
葥	葥 Rubus_palmatus 
葦	葦 reed rush Phragmites_communis 
葧	葧 Heleocharis_plantaginea 
葩	葩 corolla_of_flower 
葫	葫 Allium_scorodoprasum bottle_gourd 
莕	莕 Nymphoides_peltatum 
莘	莘 surname_Shen 
莘	莘 Asarum Wild_ginger also_細辛|细辛[xi4_xin1] 
莩	莩 used_for_殍_piǎo,_to_die_of_starvation 
莫	莫 surname_Mo 
藥	藥 medicine drug substance_used_for_a_specific_purpose_(e.g._poisoning,_explosion,_fermenting) CL:種|种[zhong3],服[fu4],味[wei4] to_poison 
薪	薪 fuel salary 
萰	萰 Ampelopsis_japonica_(creeper_with_root_used_in_TCM) same_as_白蘞|白蔹[bai2_lian3] 
萱	萱 orange_day-lily_(Hemerocallis_flava) 
萲	萲 old_variant_of_萱[xuan1] 
萴	萴 (medicinal_herb) 
萵	萵 lettuce,_see_萵苣|莴苣 
萸	萸 cornelian_cherry 
萹	萹 see_萹蓄[bian1_xu4] Taiwan_pr._[pian1] 
萹	萹 see_萹豆[bian3_dou4] 
萻	萻 small_Buddhist_temple 
萼	萼 stem_and_calyx_of_flower 
落	落 to_leave_out to_be_missing to_leave_behind_or_forget_to_bring to_lag_or_fall_behind 
落	落 see_落枕[lao4_zhen3]_and_落炕[lao4_kang4] 
蓆	蓆 variant_of_席[xi2] woven_mat 
蓇	蓇 follicle 
蓉	蓉 short_name_for_Chengdu_成都[Cheng2_du1] 
蓉	蓉 see_芙蓉[fu2_rong2],_lotus food_that_has_been_minced,_shredded,_or_ground_into_a_paste,_suitable_for_stuffing_or_making_a_sauce 
蓊	蓊 luxuriant_vegetation 
蓋	蓋 surname_Ge 
蓋	蓋 lid top cover canopy to_cover to_conceal to_build 
蔯	蔯 a_variety_of_artemisia 
蔳	蔳 old_variant_of_蒨[qian4] 
蔴	蔴 variant_of_麻[ma2] hemp 
蔵	蔵 Japanese_variant_of_藏 
蔸	蔸 root_and_lower_stem_of_certain_plants classifier_for_pieces_and_clumps 
蔻	蔻 see_肉豆蔻_nutmeg,_豆蔻_cardamon 
蔽	蔽 to_cover to_shield to_screen to_conceal 
蔾	蔾 chenopodiaceae 
蕁	蕁 nettle 
蕃	蕃 see_吐蕃[Tu3_bo1] 
蕃	蕃 variant_of_番[fan1] foreign_(non-Chinese) 
蕃	蕃 luxuriant flourishing to_reproduce to_proliferate 
蕆	蕆 to_complete to_prepare 
蕈	蕈 mold mushroom 
蕉	蕉 banana 
蕉	蕉 see_蕉萃[qiao2_cui4] 
蕊	蕊 stamen pistil 
蕋	蕋 variant_of_蕊[rui3] 
蕍	蕍 common_water-plantain_(Alisma_plantago-aquatica) 
蕎	蕎 buckwheat 
苺	苺 variant_of_莓,_berry strawberry 
苻	苻 Angelica_anomala 
苾	苾 (phonetic) fragrant 
茀	茀 luxuriant_growth 
茁	茁 to_display_vigorous,_new_growth to_sprout 
茂	茂 luxuriant (chemistry)_cyclopentadiene 
莭	莭 variant_of_節|节[jie2] 
莰	莰 camphane_C10H18 
莿	莿 Urtica_thunbergiana 
菀	菀 luxuriance_of_growth 
螎	螎 old_variant_of_融[rong2] 
螒	螒 Aulacophora_femoralis 
螓	螓 small_cicada_with_a_square_head 
螗	螗 variety_of_small_cicada_with_a_green_back_and_a_clear_song_(in_ancient_books) 
螘	螘 ant variant_of_蟻|蚁[yi3] 
螙	螙 variant_of_蠹[du4] 
螚	螚 Eristalis_tenax 
螞	螞 dragonfly 
螞	螞 ant 
螞	螞 grasshopper 
蕐	蕐 old_variant_of_華|华[hua2] 
蕑	蕑 surname_Jian 
蕑	蕑 Eupatorium_chinensis 
蕒	蕒 see_苣蕒菜|苣荬菜[ju4_mai3_cai4] 
蕓	蕓 see_蕓薹|芸薹[yun2_tai2] 
蕔	蕔 a_kind_of_grass_(old) 
蕕	蕕 Caryopteris_divaricata 
蕖	蕖 lotus 
蕗	蕗 leucacene 
蕘	蕘 fuel grass 
蕙	蕙 Coumarouna_odorata 
蕚	蕚 old_variant_of_萼[e4] 
蕝	蕝 coarse_grass_used_to_show_rank 
蕞	蕞 to_assemble small 
蕠	蕠 variant_of_茹[ru2] see_蕠藘[ru2_lu:2] 
蕡	蕡 hemp_seeds luxurious abundant 
蕢	蕢 surname_Kui 
蕢	蕢 Amaranthus_mangostanus 
蕣	蕣 Hibiscus_syriacus 
蕤	蕤 fringe overladen_with_flowers 
蕨	蕨 Pteridium_aquilinum bracken 
蕩	蕩 to_wash to_squander to_sweep_away to_move to_shake dissolute pond 
范	范 surname_Fan 
茄	茄 phonetic_character_used_in_loanwords_for_the_sound_"jia",_although_夹_is_more_common 
茄	茄 eggplant 
菁	菁 leek_flower lush luxuriant 
菅	菅 (grass) Themeda_forsbali 
菆	菆 arrow weeds 
菇	菇 mushroom 
菉	菉 Arthraxon_ciliare green rhodacene 
菊	菊 chrysanthemum 
菲	菲 luxuriant_(plant_growth) rich_with_fragrance phenanthrene_C14H10 
菲	菲 poor humble unworthy radish_(old) 
菴	菴 variant_of_庵[an1] 
菶	菶 expand thick_weeds 
菷	菷 variant_of_帚[zhou3] 
菸	菸 variant_of_煙|烟[yan1] cigarette tobacco smoke 
菸	菸 to_wither dried_leaves faded withered 
葬	葬 to_bury_(the_dead) to_inter 
葭	葭 reed Phragmites_communis 
葯	葯 leaf_of_the_iris variant_of_藥|药[yao4] 
葳	葳 luxuriant 
葴	葴 Physalis_alkekengi 
葵	葵 sunflower 
葶	葶 Draba_nemerosa_bebe_carpa 
葷	葷 strong-smelling_vegetable_(garlic_etc) non-vegetarian_food_(meat,_fish_etc) vulgar obscene 
葸	葸 feel_insecure unhappy 
葹	葹 Xanthium_strumarium 
莽	莽 thick_weeds luxuriant_growth Illicium_anisatum,_a_shrub_with_poisonous_leaves impertinent 
誥	誥 to_enjoin to_grant_(a_title) 
誦	誦 to_read_aloud to_recite 
誧	誧 huge to_admonish 
誨	誨 to_teach to_instruct to_induce 
謚	謚 variant_of_諡|谥[shi4] 
藦	藦 Metaplexis_stauntoni 
藨	藨 kind_of_raspberry 
藩	藩 fence hedge screen barrier vassal_state Taiwan_pr._[fan2] 
虜	虜 prisoner_of_war to_capture to_take_prisoner (old)_northern_barbarian slave 
虞	虞 surname_Yu 
螟	螟 boring_insect snout_moth's_larva_(Aphomia_gullaris_or_Plodia_interpuncuella_or_Heliothus_armigera_etc),_major_agricultural_pest 
螡	螡 old_variant_of_蚊[wen2] 
螢	螢 firefly glow-worm 
菌	菌 germ bacteria fungus mold Taiwan_pr._[jun4] 
菌	菌 mushroom 
菎	菎 beautiful_jade bamboo 
菏	菏 He_river_in_Shandong 
落	落 to_fall_or_drop (of_the_sun)_to_set (of_a_tide)_to_go_out to_lower to_decline_or_sink to_lag_or_fall_behind to_fall_onto to_rest_with to_get_or_receive to_write_down whereabouts settlement 
蓌	蓌 to_squat_(in_salutation) 
苠	苠 multitude skin_of_bamboo 
苡	苡 common_plantain_(Plantago_major) 
苣	苣 lettuce,_see_萵苣|莴苣 
苤	苤 Brassica_campestris_subsp._rapa 
若	若 to_seem like as if 
蒽	蒽 anthracene 
蒿	蒿 celery_wormwood_(Artemisia_carvifolia) to_give_off to_weed 
蓀	蓀 fragrant_grass 
蓁	蓁 abundant,_luxuriant_vegetation 
蓂	蓂 lucky_place 
苲	苲 see_苲草[zha3_cao3] 
苴	苴 surname_Ju 
苴	苴 (hemp) sack_cloth 
苶	苶 weary tired 
苷	苷 licorice glycoside 
苹	苹 (artemisia) duckweed 
螣	螣 flying_dragon 
螥	螥 Japanese_variant_of_蒼|苍_house-fly 
螫	螫 to_sting also_pr._[zhe1] 
螬	螬 larva_of_Mimela_lucidula 
螭	螭 dragon_with_horns_not_yet_grown_(in_myth_or_heraldry) variant_of_魑[chi1] 
螮	螮 rainbow 
螯	螯 nippers claw_(of_crab) chela pincers Astacus_fluviatilis 
螳	螳 praying_mantis 
蕪	蕪 overgrown_with_weeds 
蕭	蕭 surname_Xiao 
蕭	蕭 miserable desolate dreary Chinese_mugwort 
藪	藪 marsh gathering_place 
藭	藭 see_芎藭[qiong2_xiong1] 
藳	藳 old_variant_of_稿[gao3] 
藴	藴 variant_of_蘊|蕴,_to_accumulate to_hold_in_store to_contain to_gather_together to_collect depth inner_strength profundity 
藶	藶 Drabanemerosa_hebecarpa 
藷	藷 variant_of_薯[shu3] 
藹	藹 friendly 
蓍	蓍 yarrow_(Achillea_millefolium) 
蓏	蓏 fruit_of_plants_(not_of_trees) 
蓐	蓐 mat rushes 
蓑	蓑 rain_coat_made_of_straw_etc 
蓒	蓒 a_kind_of_smelly_water_plant 
蓓	蓓 (flower)_bud 
蓔	蓔 a_variety_of_grass 
蓔	蓔 old_variant_of_䅵[zhuo2] 
蓖	蓖 the_castor-oil_plant 
蓡	蓡 variant_of_參|参[shen1] 
蓧	蓧 bamboo_basket 
蓪	蓪 Aralia_papyrifera 
蓫	蓫 (weed) Phytolacca_acinosa 
蓄	蓄 to_store_up to_grow_(e.g._a_beard) to_entertain_(ideas) 
茅	茅 surname_Mao 
茅	茅 reeds rushes 
茆	茆 variant_of_茅[mao2] thatch 
茆	茆 type_of_water_plant (dialect)_loess_hills 
茇	茇 betel 
茈	茈 Common_Gromwell_or_European_stoneseed_(Lithospermum_officinale) 
茉	茉 jasmine 
菐	菐 thicket tedious 
菑	菑 old_variant_of_災|灾[zai1] 
菑	菑 field_recently_opened_for_cultivation surname_Zi 
菓	菓 variant_of_果[guo3] fruit 
菔	菔 turnip 
菕	菕 tree_name_(archaic) 
菖	菖 see_菖蒲[chang1_pu2] 
菘	菘 (cabbage) Brassica_chinensis 
菜	菜 dish_(type_of_food) vegetable cuisine CL:盤|盘[pan2],道[dao4] (coll.)_(one's)_type (of_one's_skills_etc)_weak poor 
荊	荊 chaste_tree_or_berry_(Vitex_agnus-castus) alternative_name_for_the_Zhou_Dynasty_State_of_Chu_楚國|楚国[Chu3_Guo2] 
菹	菹 marshland swamp salted_or_pickled_vegetables to_mince to_shred to_mince_human_flesh_and_bones Taiwan_pr._[ju1] 
菺	菺 Althaea_rosea 
菻	菻 ancient_name_for_east_Roman_empire 
菼	菼 Miscanthus_sacchariflorus_(Amur_silvergrass) Miscanthus_sinensis_(feather_grass) 
菽	菽 legumes_(peas_and_beans) 
菾	菾 sugar_beet 
萁	萁 stalks_of_pulse 
萃	萃 collect collection dense grassy thick assemble gather 
萄	萄 see_葡萄[pu2_tao5] 
萅	萅 old_variant_of_春[chun1] 
萆	萆 castor_seed 
萇	萇 surname_Chang 
萇	萇 plant_mentioned_in_Book_of_Songs,_uncertainly_identified_as_carambola_or_star_fruit_(Averrhoa_carambola) 
萊	萊 name_of_weed_plant_(fat_hen,_goosefoot,_pigweed_etc) Chenopodium_album 
葺	葺 to_repair 
葽	葽 Polygala_japonica lush_(grass) 
蒂	蒂 stem_(of_fruit) 
蒄	蒄 meaning_unknown_("herb_mentioned_in_old_books") Japanese_variant_of_蔻[kou4],_cardamom_or_nutmeg 
蒎	蒎 pinane 
蒐	蒐 madder_(Rubia_cordifolia) to_hunt_for to_gather to_collect 
蒓	蒓 edible_water_plant Brasenia_schreberi 
蒔	蒔 see_蒔蘿|莳萝[shi2_luo2] 
蒔	蒔 to_grow to_transplant 
蒗	蒗 (herb) place_name 
蒙	蒙 surname_Meng 
蒙	蒙 Mongol_ethnic_group abbr._for_Mongolia_蒙古國|蒙古国[Meng3_gu3_guo2] Taiwan_pr._[Meng2] 
蒙	蒙 (knocked)_unconscious dazed stunned 
蒙	蒙 to_cover ignorant to_suffer_(misfortune) to_receive_(a_favor) to_cheat 
蘵	蘵 Physalis_angulata 
蘸	蘸 to_dip_in_(ink,_sauce_etc) 
藺	藺 surname_Lin 
藺	藺 juncus_effusus 
藻	藻 aquatic_grasses elegant 
藼	藼 old_variant_of_萱[xuan1] 
藾	藾 (fragrant_labiate_plant) 
藿	藿 Lophanthus_rugosus beans 
蘀	蘀 fallen_leaves_and_bark 
蘁	蘁 to_disobey contrary against to_go_against to_violate obscure_character,_possibly_variant_of_惡|恶[e4] 
蘂	蘂 variant_of_蕊[rui3] 
蘄	蘄 (herb) implore pray place_name 
蘅	蘅 Asarum_blumei_(wild_ginger_plant) 
蘆	蘆 rush reed Phragmites_communis 
虞	虞 to_expect to_anticipate to_worry to_cheat 
號	號 roar cry CL:個|个[ge4] 
螵	螵 nest_of_eggs_of_mantis 
螺	螺 spiral_shell snail conch 
蓬	蓬 surname_Peng 
蓬	蓬 fleabane_(family_Asteraceae) disheveled classifier_for_luxuriant_plants,_smoke,_ashes,_campfires:_clump,_puff 
苦	苦 bitter hardship pain to_suffer to_bring_suffering_to painstakingly 
荍	荍 common_mallow_(Malva_sinesis) variant_of_蕎|荞[qiao2] 
荏	荏 beefsteak_plant_(Perilla_frutescens) soft weak 
荑	荑 (grass) 
荑	荑 to_weed 
蜃	蜃 (mythical_animal) clam sea-serpent 
蜅	蜅 crab 
蜆	蜆 Cyclina_orientalis 
蜇	蜇 to_sting 
蜇	蜇 jellyfish 
蜈	蜈 centipede 
蜉	蜉 (dragon_fly) (large_ant) (wasp) 
蜊	蜊 clam 
蜋	蜋 variant_of_螂[lang2] 
蜍	蜍 Bufo_vulgaris toad 
蕮	蕮 plantain_(Plantago_asiatica) common_water-plantain_(Alisma_plantago-aquatica) 
蕳	蕳 orchid_(same_as_蘭草|兰草) Eupatorium_(same_as_蕑) 
蕶	蕶 withered_(plant,_herb_etc) 
蕷	蕷 see_薯蕷|薯蓣[shu3_yu4] 
蕸	蕸 water-lily_leaves 
蕹	蕹 water_spinach_or_ong_choy_(Ipomoea_aquatica),_used_as_a_vegetable_in_south_China_and_southeast_Asia Taiwan_pr._[yong1] 
蕺	蕺 Houttuynia_cordata 
蕻	蕻 budding flourishing 
蕾	蕾 bud 
蕿	蕿 old_variant_of_萱[xuan1] 
薀	薀 hippuris_or_mare's_tail 
薁	薁 Prunus_japonica 
薃	薃 Cyperus_amuricus 
薄	薄 surname_Bo 
薄	薄 thin cold_in_manner indifferent weak light infertile 
薄	薄 meager slight weak ungenerous_or_unkind frivolous to_despise to_belittle to_look_down_on to_approach_or_near 
薄	薄 see_薄荷[bo4_he5] 
茊	茊 old_variant_of_茲|兹[zi1] 
茌	茌 name_of_a_district_in_Shandong 
茍	茍 urgent 
茖	茖 allium_victorialis 
茗	茗 Thea_sinensis young_leaves_of_tea 
茘	茘 variant_of_荔[li4] 
茚	茚 indene_(chemistry) 
茛	茛 ranunculus 
茜	茜 Rubia_cordifolia Indian_madder munjeet 
茜	茜 used_in_the_transliteration_of_people's_names 
茝	茝 aromatic_plant,_possibly_Dahurian_angelica_白芷[bai2_zhi3]_(archaic) 
茞	茞 fragrant_plant angelica 
茠	茠 to_weed to_eradicate 
茢	茢 rushes sedges 
茥	茥 Rubus_tokkura 
茦	茦 pointed_grass_blade to_prick 
茨	茨 Caltrop_or_puncture_vine_(Tribulus_terrestris) to_thatch_(a_roof) 
茫	茫 vast,_with_no_clear_boundary fig._hazy indistinct unclear confused 
菝	菝 smilax_china 
萋	萋 Celosia_argentea luxuriant 
蘺	蘺 red_algae Gracilaria,_several_species,_some_edible Japanese_ogonori arch._used_for_vanilla-like_herb 
蘻	蘻 a_kind_of_herb_(old) 
蘼	蘼 millet 
蘿	蘿 radish 
虀	虀 fragment salted_vegetables spices 
虆	虆 creeper bramble dirt-basket 
虉	虉 see_虉草|𬟁草[yi4_cao3] 
虍	虍 stripes_of_a_tiger "tiger"_radical_in_Chinese_characters_(Kangxi_radical_141) 
虎	虎 tiger CL:隻|只[zhi1] 
蜎	蜎 surname_Yuan 
蜎	蜎 larva_of_mosquito 
蜐	蜐 see_石蜐[shi2_jie2] 
蜑	蜑 Tanka_people 
蘇	蘇 surname_Su abbr._for_Soviet_Union_蘇維埃|苏维埃_or_蘇聯|苏联 abbr._for_Jiangsu_province_江蘇|江苏 abbr._for_Suzhou_city_蘇州|苏州 
蘇	蘇 Perilla_frutescens_(Chinese_basil_or_wild_red_basil) place_name to_revive used_as_phonetic_in_transliteration 
虡	虡 bell_pendant_stand 
虢	虢 Guo,_a_kinship_group_whose_members_held_dukedoms_within_the_Zhou_Dynasty_realm,_including_Western_Guo_西虢國|西虢国_and_Eastern_Guo_東虢國|东虢国 surname_Guo 
虣	虣 cruel violent 
虥	虥 striped_wild_cat 
虧	虧 deficiency deficit luckily it's_lucky_that... (often_ironically)_fancy_that... 
虩	虩 terrified 
虯	虯 young_dragon_with_horns 
虰	虰 see_虰蛵[ding1_xing2] 
虱	虱 louse 
虵	虵 variant_of_蛇[she2] 
虷	虷 worm 
虹	虹 rainbow 
號	號 ordinal_number day_of_a_month mark sign business_establishment size ship_suffix horn_(wind_instrument) bugle_call assumed_name to_take_a_pulse classifier_used_to_indicate_number_of_people 
螻	螻 see_螻蛄|蝼蛄[lou2_gu1] 
菟	菟 dodder_(Cuscuta_sinensis,_a_parasitic_vine_with_seeds_having_medicinal_uses) also_called_菟絲子|菟丝子 
菠	菠 spinach 
菡	菡 lotus_blossom 
菢	菢 hatch 
菣	菣 Artemisia_apiacea 
菥	菥 see_菥蓂[xi1_mi4] 
菧	菧 stibene 
菩	菩 Bodhisattva 
菪	菪 henbane 
菫	菫 variant_of_堇[jin3] violet 
華	華 abbr._for_China 
葍	葍 weeds 
葎	葎 Humulus_japonicus 
葑	葑 turnip 
葒	葒 herb 
葖	葖 follicle 
蓮	蓮 lotus 
蜒	蜒 slug 
蜓	蜓 see_蜻蜓[qing1_ting2] 
蜖	蜖 old_variant_of_蛔[hui2] 
蜘	蜘 see_蜘蛛[zhi1_zhu1] 
蜚	蜚 gad-fly 
蜛	蜛 Hydrophilus_cognatus 
蜜	蜜 honey 
